variable,group,value
1915,10,-0.293
1915,11,-0.131
1915,12,-0.263
1916,1,-0.176
1916,2,-0.169
1916,3,-0.269
1916,4,-0.332
1916,5,-0.337
1916,6,-0.392
1916,7,-0.364
1916,8,-0.368
1916,9,-0.405
1916,10,-0.394
1916,11,-0.521
1916,12,-0.797
1917,1,-0.665
1917,2,-0.658
1917,3,-0.681
1917,4,-0.523
1917,5,-0.587
1917,6,-0.506
1917,7,-0.304
1917,8,-0.329
1917,9,-0.378
1917,10,-0.509
1917,11,-0.48
1917,12,-0.725
1918,1,-0.518
1918,2,-0.511
1918,3,-0.41
1918,4,-0.511
1918,5,-0.479
1918,6,-0.385
1918,7,-0.369
1918,8,-0.4
1918,9,-0.221
1918,10,-0.038
1918,11,-0.198
1918,12,-0.28
1919,1,-0.193
1919,2,-0.217
1919,3,-0.266
1919,4,-0.106
1919,5,-0.235
1919,6,-0.331
1919,7,-0.329
1919,8,-0.29
1919,9,-0.36
1919,10,-0.281
1919,11,-0.556
1919,12,-0.4
1920,1,-0.162
1920,2,-0.323
1920,3,-0.085
1920,4,-0.17
1920,5,-0.241
1920,6,-0.258
1920,7,-0.268
1920,8,-0.25
1920,9,-0.214
1920,10,-0.143
1920,11,-0.277
1920,12,-0.472
1921,1,-0.109
1921,2,-0.191
1921,3,-0.285
1921,4,-0.269
1921,5,-0.302
1921,6,-0.148
1921,7,-0.149
1921,8,-0.281
1921,9,-0.17
1921,10,-0.04
1921,11,-0.129
1921,12,-0.102
1922,1,-0.273
1922,2,-0.392
1922,3,-0.124
1922,4,-0.112
1922,5,-0.361
1922,6,-0.265
1922,7,-0.227
1922,8,-0.367
1922,9,-0.372
1922,10,-0.349
1922,11,-0.247
1922,12,-0.154
1923,1,-0.282
1923,2,-0.392
1923,3,-0.362
1923,4,-0.276
1923,5,-0.286
1923,6,-0.22
1923,7,-0.374
1923,8,-0.325
1923,9,-0.347
1923,10,-0.034
1923,11,0.04
1923,12,0.029
1924,1,-0.246
1924,2,-0.234
1924,3,-0.049
1924,4,-0.254
1924,5,-0.149
1924,6,-0.231
1924,7,-0.255
1924,8,-0.312
1924,9,-0.334
1924,10,-0.32
1924,11,-0.207
1924,12,-0.334
1925,1,-0.406
1925,2,-0.449
1925,3,-0.253
1925,4,-0.233
1925,5,-0.166
1925,6,-0.27
1925,7,-0.289
1925,8,-0.161
1925,9,-0.214
1925,10,-0.148
1925,11,-0.018
1925,12,0.176
1926,1,0.238
1926,2,-0.004
1926,3,0.134
1926,4,-0.073
1926,5,-0.195
1926,6,-0.202
1926,7,-0.229
1926,8,-0.118
1926,9,-0.113
1926,10,0.019
1926,11,-0.048
1926,12,-0.21
1927,1,-0.236
1927,2,-0.167
1927,3,-0.377
1927,4,-0.242
1927,5,-0.174
1927,6,-0.264
1927,7,-0.205
1927,8,-0.178
1927,9,-0.121
1927,10,0.067
1927,11,-0.058
1927,12,-0.252
1928,1,0.115
1928,2,-0.018
1928,3,-0.2
1928,4,-0.186
1928,5,-0.293
1928,6,-0.379
1928,7,-0.202
1928,8,-0.233
1928,9,-0.266
1928,10,-0.143
1928,11,-0.134
1928,12,-0.142
1929,1,-0.405
1929,2,-0.524
1929,3,-0.39
1929,4,-0.364
1929,5,-0.425
1929,6,-0.429
1929,7,-0.441
1929,8,-0.292
1929,9,-0.266
1929,10,-0.129
1929,11,-0.138
1929,12,-0.487
1930,1,-0.214
1930,2,-0.272
1930,3,-0.102
1930,4,-0.19
1930,5,-0.21
1930,6,-0.233
1930,7,-0.146
1930,8,-0.119
1930,9,-0.129
1930,10,-0.058
1930,11,0.13
1930,12,0.003
1931,1,-0.092
1931,2,-0.212
1931,3,-0.073
1931,4,-0.154
1931,5,-0.188
1931,6,-0.054
1931,7,-0.012
1931,8,-0.01
1931,9,-0.049
1931,10,0.086
1931,11,-0.032
1931,12,0.012
1932,1,0.117
1932,2,-0.164
1932,3,-0.094
1932,4,0.054
1932,5,-0.061
1932,6,-0.221
1932,7,-0.175
1932,8,-0.202
1932,9,-0.011
1932,10,-0.037
1932,11,-0.304
1932,12,-0.172
1933,1,-0.24
1933,2,-0.269
1933,3,-0.305
1933,4,-0.269
1933,5,-0.298
1933,6,-0.383
1933,7,-0.282
1933,8,-0.2
1933,9,-0.35
1933,10,-0.228
1933,11,-0.371
1933,12,-0.404
1934,1,-0.25
1934,2,-0.082
1934,3,-0.367
1934,4,-0.33
1934,5,-0.145
1934,6,-0.165
1934,7,-0.15
1934,8,-0.147
1934,9,-0.187
1934,10,-0.039
1934,11,0.058
1934,12,-0.03
1935,1,-0.358
1935,2,0.078
1935,3,-0.152
1935,4,-0.314
1935,5,-0.335
1935,6,-0.226
1935,7,-0.204
1935,8,-0.22
1935,9,-0.238
1935,10,-0.038
1935,11,-0.387
